r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
30.35854,100,9.961982,0.8,1.0,30.36,0.25,75.0,25.0,39.0,14.0,13.0,9.0,289.26,1.3,26.25,0.22,0.17
30.88042,100,10.150751,0.5,6.0,30.88,0.12,88.0,12.0,49.0,12.0,16.0,11.0,513.21,3.23,23.09,0.22,0.17
17.884668,100,10.358743,-1.0,7.0,17.88,0.23,77.0,23.0,37.0,13.0,11.0,16.0,469.56,7.34,19.69,0.18,0.18
19.464067,100,10.812732,0.62,5.0,19.46,0.2,80.0,20.0,48.0,13.0,8.0,11.0,507.19,8.23,13.03,0.16,0.2
32.93633,100,11.163215,0.79,6.0,32.94,0.17,83.0,17.0,50.0,13.0,10.0,10.0,398.96,4.73,27.66,0.18,0.43
37.362587,100,11.418856,0.6,0.0,37.36,0.12,88.0,12.0,56.0,8.0,8.0,16.0,439.62,8.66,17.2,0.18,0.33
32.915203,100,11.61898,0.69,0.0,32.92,0.2,80.0,20.0,49.0,14.0,10.0,7.0,339.22,8.86,17.14,0.29,0.24
37.92701,100,11.896885,0.61,6.0,37.93,0.19,81.0,19.0,46.0,11.0,14.0,10.0,297.9,8.15,15.31,0.19,0.19
41.905457,100,12.113719,0.73,5.0,41.91,0.13,87.0,13.0,42.0,12.0,20.0,13.0,369.53,9.37,13.22,0.24,0.26
44.506184,100,12.314012,0.74,4.0,44.51,0.13,87.0,13.0,48.0,12.0,18.0,9.0,339.67,9.46,17.89,0.25,0.2
24.387024,100,12.517323,0.35,3.0,24.39,0.19,81.0,19.0,50.0,11.0,11.0,9.0,464.89,10.06,14.21,0.15,0.19
16.013407,100,12.727476,-1.0,7.0,16.01,0.27,73.0,27.0,47.0,9.0,11.0,6.0,411.36,7.62,19.88,0.26,0.19
22.442774,100,12.939142,0.61,4.0,22.44,0.18,82.0,18.0,47.0,10.0,13.0,12.0,507.29,8.89,14.0,0.21,0.2
41.74857,100,13.136186,0.74,0.0,41.75,0.19,81.0,19.0,45.0,17.0,8.0,11.0,250.77,8.28,17.79,0.12,0.2
21.76283,100,13.316755,0.42,6.0,21.76,0.21,79.0,21.0,57.0,4.0,8.0,10.0,459.24,9.14,18.78,0.13,0.19
33.431454,100,13.503911,-1.0,7.0,33.43,0.16,84.0,16.0,54.0,7.0,11.0,12.0,412.12,3.13,32.64,0.28,0.17
21.964489,100,13.711061,0.27,2.0,21.96,0.19,81.0,19.0,51.0,12.0,10.0,8.0,494.77,2.73,23.53,0.22,0.18
25.877934,100,13.915046,0.65,0.0,25.88,0.22,78.0,22.0,48.0,8.0,13.0,9.0,386.79,10.47,12.21,0.21,0.2
36.451874,100,14.113994,0.85,2.0,36.45,0.18,82.0,18.0,47.0,10.0,9.0,16.0,336.62,5.55,20.04,0.33,0.19
37.26566,100,14.300272,0.49,3.0,37.27,0.1,90.0,10.0,60.0,13.0,7.0,10.0,475.35,4.76,21.52,0.26,0.19
17.541386,100,14.58009,0.65,2.0,17.54,0.22,78.0,22.0,44.0,10.0,14.0,10.0,493.57,9.83,10.38,0.23,0.18
36.65816,100,14.882088,0.63,4.0,36.66,0.11,89.0,11.0,43.0,13.0,20.0,13.0,465.05,4.6,18.74,0.24,0.26
12.927581,100,15.086507,0.46,4.0,12.93,0.17,83.0,17.0,55.0,10.0,8.0,10.0,639.79,8.99,19.58,0.24,0.29
19.292837,100,15.318957,0.25,3.0,19.29,0.13,87.0,13.0,51.0,10.0,10.0,16.0,629.19,5.44,23.1,0.22,0.19
34.389828,100,15.577905,0.64,4.0,34.39,0.22,78.0,22.0,30.0,16.0,14.0,18.0,354.62,1.4,23.55,0.24,0.22
57.002693,100,15.805859,0.48,1.0,57.0,0.07,93.0,7.0,60.0,5.0,19.0,9.0,312.49,4.62,24.17,0.25,0.25
20.000864,100,15.997732,-1.0,5.0,20.0,0.21,79.0,21.0,43.0,12.0,9.0,15.0,481.52,5.31,19.75,0.28,0.21
22.8031,100,16.235216,0.58,0.0,22.8,0.2,80.0,20.0,49.0,11.0,9.0,11.0,465.5,8.32,17.12,0.18,0.18
38.817753,100,16.601158,0.54,4.0,38.82,0.13,87.0,13.0,53.0,12.0,8.0,14.0,404.99,9.2,14.75,0.24,0.22
37.135876,100,16.936594,0.82,4.0,37.14,0.23,77.0,23.0,37.0,18.0,11.0,11.0,219.8,4.48,20.23,0.23,0.35
37.058456,100,17.138921,0.7,5.0,37.06,0.2,80.0,20.0,40.0,9.0,12.0,19.0,287.48,6.15,16.95,0.22,0.32
41.900486,100,17.343248,0.6,3.0,41.9,0.2,80.0,20.0,43.0,21.0,11.0,5.0,227.02,1.96,23.09,0.25,0.19
19.719418,100,17.524968,0.52,5.0,19.72,0.21,79.0,21.0,41.0,14.0,9.0,15.0,485.08,8.59,15.17,0.2,0.19
30.140139,100,17.724606,0.7,5.0,30.14,0.18,82.0,18.0,48.0,12.0,12.0,10.0,413.51,7.37,21.89,0.22,0.17
28.18866,100,17.92955,0.59,5.0,28.19,0.14,86.0,14.0,46.0,10.0,15.0,15.0,509.92,5.54,19.92,0.18,0.19
29.777885,100,18.118697,0.7,2.0,29.78,0.21,79.0,21.0,47.0,14.0,6.0,12.0,357.88,8.66,16.27,0.17,0.19
33.737755,100,18.354752,0.81,2.0,33.74,0.2,80.0,20.0,38.0,13.0,16.0,13.0,328.95,4.13,20.48,0.29,0.18
11.418708,100,18.538139,0.53,4.0,11.42,0.25,75.0,25.0,41.0,11.0,9.0,14.0,514.9,5.66,17.19,0.23,0.22
30.846815,100,18.747884,0.62,6.0,30.85,0.17,83.0,17.0,50.0,9.0,12.0,12.0,424.11,2.64,28.23,0.17,0.17
27.550127,100,18.950924,0.71,5.0,27.55,0.22,78.0,22.0,39.0,17.0,11.0,11.0,365.38,4.56,16.99,0.25,0.2
31.60994,100,19.139147,-1.0,7.0,31.61,0.18,82.0,18.0,52.0,11.0,5.0,14.0,395.61,7.3,21.49,0.15,0.19
15.823736,100,19.338389,0.37,3.0,15.82,0.19,81.0,19.0,54.0,8.0,10.0,9.0,570.51,4.62,22.4,0.28,0.18
33.82401,100,19.548546,0.92,4.0,33.82,0.27,73.0,27.0,42.0,14.0,9.0,8.0,167.63,6.36,14.9,0.27,0.19
36.109653,100,19.742776,-1.0,5.0,36.11,0.09,91.0,9.0,60.0,16.0,6.0,9.0,504.79,7.23,22.84,0.21,0.2
34.37844,100,19.945878,0.76,3.0,34.38,0.24,76.0,24.0,37.0,12.0,12.0,15.0,285.21,1.46,24.88,0.09,0.18
44.886894,100,20.14149,0.78,5.0,44.89,0.18,82.0,18.0,47.0,13.0,10.0,12.0,233.85,4.51,17.92,0.24,0.19
22.959318,100,20.321825,0.44,2.0,22.96,0.2,80.0,20.0,50.0,12.0,7.0,11.0,463.55,6.5,16.63,0.14,0.18
29.625416,100,20.508252,0.25,3.0,29.63,0.18,82.0,18.0,52.0,12.0,13.0,5.0,419.78,5.16,19.34,0.27,0.17
38.53765,100,20.704152,0.85,6.0,38.54,0.17,83.0,17.0,48.0,11.0,17.0,7.0,331.54,5.17,22.1,0.36,0.18
31.99573,100,20.89864,0.59,1.0,32.0,0.14,86.0,14.0,54.0,6.0,14.0,12.0,465.7,12.6,9.96,0.18,0.18
23.309471,100,21.086535,0.58,5.0,23.31,0.19,81.0,19.0,56.0,7.0,10.0,8.0,478.18,11.85,14.85,0.19,0.18
35.950207,100,21.295896,0.61,2.0,35.95,0.15,85.0,15.0,40.0,18.0,13.0,14.0,401.19,5.35,14.55,0.16,0.18
32.78895,100,21.516371,0.45,0.0,32.79,0.16,84.0,16.0,48.0,18.0,8.0,10.0,419.76,5.78,15.98,0.22,0.2
28.805712,100,21.751263,-1.0,7.0,28.81,0.15,85.0,15.0,49.0,14.0,13.0,9.0,485.15,4.59,20.92,0.2,0.21
