52,44.51,0.13,87.0,13.0,48.0,12.0,18.0,9.0,339.67,9.46,17.89,0.25,0.19
53,24.39,0.19,81.0,19.0,50.0,11.0,11.0,9.0,464.89,10.06,14.21,0.15,0.19
54,16.01,0.27,73.0,27.0,47.0,9.0,11.0,6.0,411.36,7.62,19.88,0.26,0.2
55,22.44,0.18,82.0,18.0,47.0,10.0,13.0,12.0,507.29,8.89,14.0,0.21,0.2
56,41.75,0.19,81.0,19.0,45.0,17.0,8.0,11.0,250.77,8.28,17.79,0.12,0.19
57,21.76,0.21,79.0,21.0,57.0,4.0,8.0,10.0,459.24,9.14,18.78,0.13,0.17
58,33.43,0.16,84.0,16.0,54.0,7.0,11.0,12.0,412.12,3.13,32.64,0.28,0.18
59,21.96,0.19,81.0,19.0,51.0,12.0,10.0,8.0,494.77,2.73,23.53,0.22,0.2
60,25.88,0.22,78.0,22.0,48.0,8.0,13.0,9.0,386.79,10.47,12.21,0.21,0.19
61,36.45,0.18,82.0,18.0,47.0,10.0,9.0,16.0,336.62,5.55,20.04,0.33,0.19
62,37.27,0.1,90.0,10.0,60.0,13.0,7.0,10.0,475.35,4.76,21.52,0.26,0.18
63,17.54,0.22,78.0,22.0,44.0,10.0,14.0,10.0,493.57,9.83,10.38,0.23,0.26
64,36.66,0.11,89.0,11.0,43.0,13.0,20.0,13.0,465.05,4.6,18.74,0.24,0.29
65,12.93,0.17,83.0,17.0,55.0,10.0,8.0,10.0,639.79,8.99,19.58,0.24,0.19
66,19.29,0.13,87.0,13.0,51.0,10.0,10.0,16.0,629.19,5.44,23.1,0.22,0.22
67,34.39,0.22,78.0,22.0,30.0,16.0,14.0,18.0,354.62,1.4,23.55,0.24,0.25
68,57.0,0.07,93.0,7.0,60.0,5.0,19.0,9.0,312.49,4.62,24.17,0.25,0.21
69,20.0,0.21,79.0,21.0,43.0,12.0,9.0,15.0,481.52,5.31,19.75,0.28,0.18
70,22.8,0.2,80.0,20.0,49.0,11.0,9.0,11.0,465.5,8.32,17.12,0.18,0.22
71,38.82,0.13,87.0,13.0,53.0,12.0,8.0,14.0,404.99,9.2,14.75,0.24,0.35
72,37.14,0.23,77.0,23.0,37.0,18.0,11.0,11.0,219.8,4.48,20.23,0.23,0.32
73,37.06,0.2,80.0,20.0,40.0,9.0,12.0,19.0,287.48,6.15,16.95,0.22,0.19
74,41.9,0.2,80.0,20.0,43.0,21.0,11.0,5.0,227.02,1.96,23.09,0.25,0.19
75,19.72,0.21,79.0,21.0,41.0,14.0,9.0,15.0,485.08,8.59,15.17,0.2,0.17
76,30.14,0.18,82.0,18.0,48.0,12.0,12.0,10.0,413.51,7.37,21.89,0.22,0.19
77,28.19,0.14,86.0,14.0,46.0,10.0,15.0,15.0,509.92,5.54,19.92,0.18,0.19
78,29.78,0.21,79.0,21.0,47.0,14.0,6.0,12.0,357.88,8.66,16.27,0.17,0.18
79,33.74,0.2,80.0,20.0,38.0,13.0,16.0,13.0,328.95,4.13,20.48,0.29,0.22
80,11.42,0.25,75.0,25.0,41.0,11.0,9.0,14.0,514.9,5.66,17.19,0.23,0.17
81,30.85,0.17,83.0,17.0,50.0,9.0,12.0,12.0,424.11,2.64,28.23,0.17,0.2
82,27.55,0.22,78.0,22.0,39.0,17.0,11.0,11.0,365.38,4.56,16.99,0.25,0.19
83,31.61,0.18,82.0,18.0,52.0,11.0,5.0,14.0,395.61,7.3,21.49,0.15,0.18
84,15.82,0.19,81.0,19.0,54.0,8.0,10.0,9.0,570.51,4.62,22.4,0.28,0.19
85,33.82,0.27,73.0,27.0,42.0,14.0,9.0,8.0,167.63,6.36,14.9,0.27,0.2
86,36.11,0.09,91.0,9.0,60.0,16.0,6.0,9.0,504.79,7.23,22.84,0.21,0.18
87,34.38,0.24,76.0,24.0,37.0,12.0,12.0,15.0,285.21,1.46,24.88,0.09,0.19
88,44.89,0.18,82.0,18.0,47.0,13.0,10.0,12.0,233.85,4.51,17.92,0.24,0.18
89,22.96,0.2,80.0,20.0,50.0,12.0,7.0,11.0,463.55,6.5,16.63,0.14,0.17
90,29.63,0.18,82.0,18.0,52.0,12.0,13.0,5.0,419.78,5.16,19.34,0.27,0.18
91,38.54,0.17,83.0,17.0,48.0,11.0,17.0,7.0,331.54,5.17,22.1,0.36,0.18
92,32.0,0.14,86.0,14.0,54.0,6.0,14.0,12.0,465.7,12.6,9.96,0.18,0.18
93,23.31,0.19,81.0,19.0,56.0,7.0,10.0,8.0,478.18,11.85,14.85,0.19,0.18
94,35.95,0.15,85.0,15.0,40.0,18.0,13.0,14.0,401.19,5.35,14.55,0.16,0.2
95,32.79,0.16,84.0,16.0,48.0,18.0,8.0,10.0,419.76,5.78,15.98,0.22,0.21
96,28.81,0.15,85.0,15.0,49.0,14.0,13.0,9.0,485.15,4.59,20.92,0.2,0.22
97,46.07,0.34,66.0,34.0,27.0,13.0,13.0,13.0,332.98,1.0,17.06,0.18,0.21
98,46.77,0.1,90.0,10.0,55.0,18.0,8.0,9.0,369.87,4.22,19.46,0.27,0.22
99,30.58,0.15,85.0,15.0,43.0,20.0,11.0,11.0,464.32,2.68,28.83,0.26,0.21
100,24.93,0.19,81.0,19.0,58.0,6.0,10.0,7.0,458.18,9.98,16.28,0.13,0.17
101,43.07,0.18,82.0,18.0,45.0,19.0,9.0,9.0,256.01,2.28,22.93,0.21,0.39
102,39.07,0.09,91.0,9.0,61.0,8.0,10.0,12.0,472.32,10.29,15.95,0.28,0.46
103,18.58,0.22,78.0,22.0,55.0,9.0,9.0,5.0,480.29,11.26,14.72,0.25,0.35
104,33.14,0.16,84.0,16.0,52.0,9.0,16.0,7.0,415.55,5.37,18.28,0.16,0.32
105,31.74,0.19,81.0,19.0,51.0,15.0,8.0,7.0,374.19,10.77,12.69,0.25,0.33
106,27.41,0.19,81.0,19.0,61.0,6.0,6.0,8.0,427.58,10.2,16.63,0.16,0.38
107,31.87,0.18,82.0,18.0,54.0,12.0,9.0,7.0,392.39,7.65,22.41,0.17,0.31
108,46.8,0.18,82.0,18.0,49.0,12.0,12.0,9.0,259.32,1.68,24.09,0.24,0.36
109,20.29,0.19,81.0,19.0,53.0,6.0,11.0,11.0,515.36,4.98,18.16,0.13,0.31
110,24.61,0.18,82.0,18.0,49.0,11.0,10.0,12.0,480.85,4.33,21.86,0.15,0.39
111,38.45,0.17,83.0,17.0,53.0,12.0,7.0,11.0,332.56,9.67,13.43,0.18,0.32
112,19.5,0.16,84.0,16.0,49.0,9.0,12.0,14.0,577.78,9.55,16.12,0.2,0.37
113,29.95,0.19,81.0,19.0,62.0,3.0,8.0,8.0,396.31,5.29,22.13,0.18,0.37
114,35.64,0.15,85.0,15.0,54.0,14.0,9.0,8.0,404.88,8.48,18.18,0.23,0.33
115,28.56,0.17,83.0,17.0,52.0,9.0,10.0,12.0,451.64,6.81,23.07,0.06,0.43
116,43.35,0.11,89.0,11.0,54.0,13.0,10.0,12.0,389.94,6.25,25.39,0.18,0.44
117,13.77,0.2,80.0,20.0,54.0,7.0,9.0,10.0,578.25,5.48,20.69,0.2,0.32
118,23.19,0.18,82.0,18.0,55.0,7.0,6.0,14.0,498.22,7.85,16.08,0.11,0.32
119,29.79,0.13,87.0,13.0,52.0,11.0,11.0,13.0,508.61,9.52,17.76,0.32,0.37
120,19.02,0.25,75.0,25.0,49.0,9.0,7.0,10.0,413.68,3.1,28.37,0.16,0.42
121,35.44,0.15,85.0,15.0,60.0,12.0,7.0,6.0,407.16,4.93,19.25,0.15,0.54
122,24.52,0.22,78.0,22.0,38.0,11.0,20.0,9.0,455.41,1.4,18.28,0.22,0.41
123,13.67,0.24,76.0,24.0,41.0,13.0,12.0,10.0,504.85,9.38,14.97,0.24,0.38
124,37.81,0.13,87.0,13.0,54.0,11.0,9.0,13.0,416.58,9.53,18.48,0.15,0.36
125,24.63,0.14,86.0,14.0,46.0,12.0,12.0,16.0,551.27,6.88,18.47,0.19,0.41
126,37.41,0.14,86.0,14.0,55.0,14.0,10.0,7.0,402.85,11.8,14.04,0.21,0.33
127,42.13,0.14,86.0,14.0,61.0,8.0,8.0,9.0,347.96,8.25,18.62,0.17,0.35
128,42.0,0.17,83.0,17.0,48.0,16.0,8.0,11.0,289.86,4.22,20.97,0.2,0.38
129,24.02,0.18,82.0,18.0,48.0,14.0,10.0,10.0,488.12,5.49,20.85,0.14,0.43
130,11.09,0.19,81.0,19.0,57.0,11.0,7.0,6.0,628.87,5.58,24.24,0.1,0.34
131,39.38,0.17,83.0,17.0,49.0,10.0,16.0,8.0,321.4,3.78,22.17,0.23,0.37
132,20.44,0.25,75.0,25.0,48.0,15.0,7.0,5.0,394.71,8.55,18.05,0.24,0.36
133,32.79,0.2,80.0,20.0,53.0,11.0,9.0,7.0,340.8,8.33,16.0,0.2,0.52
134,17.81,0.25,75.0,25.0,47.0,8.0,13.0,7.0,429.77,1.75,25.05,0.13,0.35
135,19.93,0.19,81.0,19.0,50.0,10.0,8.0,13.0,519.89,7.46,20.13,0.09,0.39
136,43.07,0.18,82.0,18.0,56.0,8.0,9.0,9.0,255.95,3.44,27.41,0.15,0.37
137,24.59,0.23,77.0,23.0,53.0,9.0,7.0,8.0,382.55,3.35,30.32,0.16,0.43
138,13.82,0.24,76.0,24.0,52.0,8.0,6.0,10.0,502.83,9.87,14.61,0.28,0.33
139,41.14,0.15,85.0,15.0,59.0,14.0,4.0,8.0,340.19,2.55,29.36,0.15,0.35
140,23.83,0.16,84.0,16.0,58.0,11.0,9.0,6.0,526.33,13.05,12.43,0.14,0.38
141,31.05,0.18,82.0,18.0,55.0,8.0,10.0,9.0,402.44,8.5,16.91,0.22,0.35
142,60.68,0.12,88.0,12.0,70.0,5.0,8.0,5.0,174.88,6.17,28.16,0.13,0.31
143,47.68,0.15,85.0,15.0,48.0,15.0,12.0,10.0,263.38,8.76,17.62,0.17,0.35
144,26.42,0.19,81.0,19.0,47.0,5.0,15.0,14.0,439.79,6.63,22.79,0.12,0.39
145,10.17,0.18,82.0,18.0,62.0,7.0,9.0,4.0,681.19,2.0,33.27,0.13,0.28
146,20.2,0.14,86.0,14.0,49.0,15.0,13.0,9.0,602.71,9.37,16.95,0.21,0.29
147,12.13,0.19,81.0,19.0,65.0,6.0,7.0,3.0,616.05,10.0,18.38,0.14,0.26
148,28.87,0.2,80.0,20.0,51.0,15.0,10.0,4.0,389.79,6.95,18.98,0.25,0.28
149,32.12,0.17,83.0,17.0,55.0,9.0,13.0,6.0,408.8,7.77,22.48,0.18,0.27
150,55.36,0.11,89.0,11.0,56.0,16.0,7.0,10.0,255.18,7.18,18.01,0.23,0.29
151,32.27,0.18,82.0,18.0,63.0,8.0,3.0,8.0,387.55,7.47,20.24,0.15,0.33
152,31.01,0.22,78.0,22.0,51.0,11.0,10.0,6.0,321.12,2.44,27.45,0.21,0.28
153,29.56,0.17,83.0,17.0,61.0,9.0,4.0,9.0,439.64,10.94,17.48,0.26,0.28
154,47.78,0.13,87.0,13.0,52.0,10.0,12.0,13.0,302.09,5.28,20.53,0.18,0.29
155,46.73,0.18,82.0,18.0,55.0,11.0,11.0,5.0,211.45,11.44,13.32,0.2,0.3
156,44.79,0.17,83.0,17.0,53.0,12.0,7.0,11.0,256.24,4.13,25.46,0.1,0.34
157,35.39,0.16,84.0,16.0,64.0,8.0,8.0,4.0,388.82,4.86,22.58,0.2,0.38
