r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
50.52016,100,10.90903,0.93,1.0,50.52,0.25,75.0,25.0,39.0,14.0,13.0,9.0,289.26,1.3,26.25,0.22,0.21
62.93331,100,11.141473,0.93,6.0,62.93,0.12,88.0,12.0,49.0,12.0,16.0,11.0,513.21,3.23,23.09,0.22,0.2
21.43285,100,11.365317,-1.0,7.0,21.43,0.23,77.0,23.0,37.0,13.0,11.0,16.0,469.56,7.34,19.69,0.18,0.22
21.437145,100,11.569199,0.27,5.0,21.44,0.2,80.0,20.0,48.0,13.0,8.0,11.0,507.19,8.23,13.03,0.16,0.21
45.377766,100,11.808668,1.0,6.0,45.38,0.17,83.0,17.0,50.0,13.0,10.0,10.0,398.96,4.73,27.66,0.18,0.19
31.057758,100,12.089255,0.53,0.0,31.06,0.12,88.0,12.0,56.0,8.0,8.0,16.0,439.62,8.66,17.2,0.18,0.23
18.055557,100,12.354571,0.0,0.0,18.06,0.2,80.0,20.0,49.0,14.0,10.0,7.0,339.22,8.86,17.14,0.29,0.27
23.392698,100,12.64433,1.0,6.0,23.39,0.19,81.0,19.0,46.0,11.0,14.0,10.0,297.9,8.15,15.31,0.19,0.25
25.464758,100,12.881824,0.13,5.0,25.46,0.13,87.0,13.0,42.0,12.0,20.0,13.0,369.53,9.37,13.22,0.24,0.27
24.958086,100,13.120265,0.4,4.0,24.96,0.13,87.0,13.0,48.0,12.0,18.0,9.0,339.67,9.46,17.89,0.25,0.23
13.098574,100,13.422817,0.8,3.0,13.1,0.19,81.0,19.0,50.0,11.0,11.0,9.0,464.89,10.06,14.21,0.15,0.23
13.773811,100,13.670403,-1.0,7.0,13.77,0.27,73.0,27.0,47.0,9.0,11.0,6.0,411.36,7.62,19.88,0.26,0.29
20.886827,100,13.914351,0.27,4.0,20.89,0.18,82.0,18.0,47.0,10.0,13.0,12.0,507.29,8.89,14.0,0.21,0.24
22.695553,100,14.204761,1.0,0.0,22.7,0.19,81.0,19.0,45.0,17.0,8.0,11.0,250.77,8.28,17.79,0.12,0.23
15.111755,100,14.407725,0.8,6.0,15.11,0.21,79.0,21.0,57.0,4.0,8.0,10.0,459.24,9.14,18.78,0.13,0.28
56.093945,100,14.61484,-1.0,7.0,56.09,0.16,84.0,16.0,54.0,7.0,11.0,12.0,412.12,3.13,32.64,0.28,0.19
52.65872,100,14.81898,0.8,2.0,52.66,0.19,81.0,19.0,51.0,12.0,10.0,8.0,494.77,2.73,23.53,0.22,0.2
6.733968,100,15.035785,0.0,0.0,6.73,0.22,78.0,22.0,48.0,8.0,13.0,9.0,386.79,10.47,12.21,0.21,0.19
39.136494,100,15.24082,0.53,2.0,39.14,0.18,82.0,18.0,47.0,10.0,9.0,16.0,336.62,5.55,20.04,0.33,0.2
57.434914,100,15.472631,0.93,3.0,57.43,0.1,90.0,10.0,60.0,13.0,7.0,10.0,475.35,4.76,21.52,0.26,0.19
10.098414,100,15.690326,0.53,2.0,10.1,0.22,78.0,22.0,44.0,10.0,14.0,10.0,493.57,9.83,10.38,0.23,0.22
56.619358,100,15.924623,0.7,4.0,56.62,0.11,89.0,11.0,43.0,13.0,20.0,13.0,465.05,4.6,18.74,0.24,0.2
21.77079,100,16.140857,0.08,4.0,21.77,0.17,83.0,17.0,55.0,10.0,8.0,10.0,639.79,8.99,19.58,0.24,0.22
48.227917,100,16.387505,0.8,3.0,48.23,0.13,87.0,13.0,51.0,10.0,10.0,16.0,629.19,5.44,23.1,0.22,0.2
59.901123,100,16.697858,0.95,4.0,59.9,0.22,78.0,22.0,30.0,16.0,14.0,18.0,354.62,1.4,23.55,0.24,0.23
63.548573,100,16.96581,0.8,1.0,63.55,0.07,93.0,7.0,60.0,5.0,19.0,9.0,312.49,4.62,24.17,0.25,0.3
35.325695,100,17.185618,-1.0,5.0,35.33,0.21,79.0,21.0,43.0,12.0,9.0,15.0,481.52,5.31,19.75,0.28,0.25
20.985235,100,17.410777,1.0,0.0,20.99,0.2,80.0,20.0,49.0,11.0,9.0,11.0,465.5,8.32,17.12,0.18,0.21
26.415869,100,17.650337,0.08,4.0,26.42,0.13,87.0,13.0,53.0,12.0,8.0,14.0,404.99,9.2,14.75,0.24,0.21
36.13682,100,17.878062,0.68,4.0,36.14,0.23,77.0,23.0,37.0,18.0,11.0,11.0,219.8,4.48,20.23,0.23,0.23
32.53331,100,18.095127,0.53,5.0,32.53,0.2,80.0,20.0,40.0,9.0,12.0,19.0,287.48,6.15,16.95,0.22,0.22
54.866184,100,18.318308,0.8,3.0,54.87,0.2,80.0,20.0,43.0,21.0,11.0,5.0,227.02,1.96,23.09,0.25,0.21
18.046827,100,18.557329,0.09,5.0,18.05,0.21,79.0,21.0,41.0,14.0,9.0,15.0,485.08,8.59,15.17,0.2,0.21
29.177773,100,18.793778,0.2,5.0,29.18,0.18,82.0,18.0,48.0,12.0,12.0,10.0,413.51,7.37,21.89,0.22,0.23
45.963787,100,19.032605,0.53,5.0,45.96,0.14,86.0,14.0,46.0,10.0,15.0,15.0,509.92,5.54,19.92,0.18,0.22
17.639204,100,19.244779,0.8,2.0,17.64,0.21,79.0,21.0,47.0,14.0,6.0,12.0,357.88,8.66,16.27,0.17,0.23
43.32699,100,19.46013,1.0,2.0,43.33,0.2,80.0,20.0,38.0,13.0,16.0,13.0,328.95,4.13,20.48,0.29,0.2
26.71015,100,19.724952,0.58,4.0,26.71,0.25,75.0,25.0,41.0,11.0,9.0,14.0,514.9,5.66,17.19,0.23,0.21
56.9073,100,20.028575,1.0,6.0,56.91,0.17,83.0,17.0,50.0,9.0,12.0,12.0,424.11,2.64,28.23,0.17,0.25
37.48635,100,20.292655,0.67,5.0,37.49,0.22,78.0,22.0,39.0,17.0,11.0,11.0,365.38,4.56,16.99,0.25,0.29
29.58618,100,20.542797,-1.0,7.0,29.59,0.18,82.0,18.0,52.0,11.0,5.0,14.0,395.61,7.3,21.49,0.15,0.25
42.44857,100,20.776215,0.93,3.0,42.45,0.19,81.0,19.0,54.0,8.0,10.0,9.0,570.51,4.62,22.4,0.28,0.24
19.924757,100,20.984918,0.13,4.0,19.92,0.27,73.0,27.0,42.0,14.0,9.0,8.0,167.63,6.36,14.9,0.27,0.22
44.20445,100,21.217131,-1.0,5.0,44.2,0.09,91.0,9.0,60.0,16.0,6.0,9.0,504.79,7.23,22.84,0.21,0.2
53.659683,100,21.611786,1.0,3.0,53.66,0.24,76.0,24.0,37.0,12.0,12.0,15.0,285.21,1.46,24.88,0.09,0.22
44.80396,100,22.085248,0.61,5.0,44.8,0.18,82.0,18.0,47.0,13.0,10.0,12.0,233.85,4.51,17.92,0.24,0.37
30.666658,100,22.502966,0.8,2.0,30.67,0.2,80.0,20.0,50.0,12.0,7.0,11.0,463.55,6.5,16.63,0.14,0.45
41.241264,100,22.821317,0.93,3.0,41.24,0.18,82.0,18.0,52.0,12.0,13.0,5.0,419.78,5.16,19.34,0.27,0.4
42.918087,100,23.230448,0.93,6.0,42.92,0.17,83.0,17.0,48.0,11.0,17.0,7.0,331.54,5.17,22.1,0.36,0.3
5.466667,100,23.624683,0.0,1.0,5.47,0.14,86.0,14.0,54.0,6.0,14.0,12.0,465.7,12.6,9.96,0.18,0.38
3.4000006,100,24.098919,0.0,5.0,3.4,0.19,81.0,19.0,56.0,7.0,10.0,8.0,478.18,11.85,14.85,0.19,0.37
45.36841,100,24.595998,0.53,2.0,45.37,0.15,85.0,15.0,40.0,18.0,13.0,14.0,401.19,5.35,14.55,0.16,0.45
41.248875,100,24.923908,1.0,0.0,41.25,0.16,84.0,16.0,48.0,18.0,8.0,10.0,419.76,5.78,15.98,0.22,0.48
49.67524,100,25.414026,-1.0,7.0,49.68,0.15,85.0,15.0,49.0,14.0,13.0,9.0,485.15,4.59,20.92,0.2,0.31
68.00952,100,25.752613,1.0,4.0,68.01,0.34,66.0,34.0,27.0,13.0,13.0,13.0,332.98,1.0,17.06,0.18,0.47
60.68858,100,26.115643,0.53,2.0,60.69,0.1,90.0,10.0,55.0,18.0,8.0,9.0,369.87,4.22,19.46,0.27,0.32
60.50539,100,26.560299,0.8,0.0,60.51,0.15,85.0,15.0,43.0,20.0,11.0,11.0,464.32,2.68,28.83,0.26,0.35
13.485086,100,27.151544,0.53,0.0,13.49,0.19,81.0,19.0,58.0,6.0,10.0,7.0,458.18,9.98,16.28,0.13,0.43
57.24809,100,28.132549,1.0,3.0,57.25,0.18,82.0,18.0,45.0,17.0,9.0,11.0,270.73,2.24,22.93,0.2,0.57
27.657145,100,28.87992,1.0,1.0,27.66,0.09,91.0,9.0,61.0,8.0,10.0,12.0,476.94,9.96,16.55,0.28,0.95
2.6622224,100,29.266424,1.0,6.0,2.66,0.22,78.0,22.0,55.0,9.0,9.0,5.0,480.29,11.26,14.72,0.25,0.7
43.955223,100,29.627417,1.0,3.0,43.96,0.16,84.0,16.0,52.0,9.0,16.0,7.0,418.25,5.29,18.56,0.15,0.36
13.0666685,100,30.175828,0.93,0.0,13.07,0.18,82.0,18.0,53.0,14.0,8.0,7.0,381.66,10.32,13.01,0.25,0.33
