r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
34.9108,100,22.313221,0.78,1.0,34.91,0.25,75.0,25.0,39.0,14.0,13.0,9.0,289.26,1.3,26.25,0.22,0.21
49.522293,100,23.000015,0.78,6.0,49.52,0.12,88.0,12.0,49.0,12.0,16.0,11.0,513.21,3.23,23.09,0.22,0.49
37.504063,100,23.628648,-1.0,7.0,37.5,0.23,77.0,23.0,37.0,13.0,11.0,16.0,469.56,7.34,19.69,0.18,0.66
45.822746,100,24.036733,0.84,5.0,45.82,0.2,80.0,20.0,48.0,13.0,8.0,11.0,507.19,8.23,13.03,0.16,0.6
45.495415,100,24.250211,0.82,6.0,45.5,0.17,83.0,17.0,50.0,13.0,10.0,10.0,398.96,4.73,27.66,0.18,0.39
56.79755,100,24.591646,0.82,0.0,56.8,0.12,88.0,12.0,56.0,8.0,8.0,16.0,439.62,8.66,17.2,0.18,0.2
31.908232,100,25.010621,0.71,0.0,31.91,0.2,80.0,20.0,49.0,14.0,10.0,7.0,339.22,8.86,17.14,0.29,0.32
47.49699,100,25.545028,0.81,6.0,47.5,0.19,81.0,19.0,46.0,11.0,14.0,10.0,297.9,8.15,15.31,0.19,0.39
51.572273,100,26.01402,0.76,5.0,51.57,0.13,87.0,13.0,42.0,12.0,20.0,13.0,369.53,9.37,13.22,0.24,0.5
49.36181,100,26.563735,0.75,4.0,49.36,0.13,87.0,13.0,48.0,12.0,18.0,9.0,339.67,9.46,17.89,0.25,0.45
43.458035,100,27.079401,0.85,3.0,43.46,0.19,81.0,19.0,50.0,11.0,11.0,9.0,464.89,10.06,14.21,0.15,0.52
22.96557,100,27.717688,-1.0,7.0,22.97,0.27,73.0,27.0,47.0,9.0,11.0,6.0,411.36,7.62,19.88,0.26,0.48
44.54704,100,28.316153,0.79,4.0,44.55,0.18,82.0,18.0,47.0,10.0,13.0,12.0,507.29,8.89,14.0,0.21,0.6
47.6513,100,28.534895,0.88,0.0,47.65,0.19,81.0,19.0,45.0,17.0,8.0,11.0,250.77,8.28,17.79,0.12,0.58
39.545086,100,28.722744,0.87,6.0,39.55,0.21,79.0,21.0,57.0,4.0,8.0,10.0,459.24,9.14,18.78,0.13,0.21
41.180832,100,28.929062,-1.0,7.0,41.18,0.16,84.0,16.0,54.0,7.0,11.0,12.0,412.12,3.13,32.64,0.28,0.17
39.576412,100,29.123229,0.78,2.0,39.58,0.19,81.0,19.0,51.0,12.0,10.0,8.0,494.77,2.73,23.53,0.22,0.19
36.11232,100,29.325928,0.79,0.0,36.11,0.22,78.0,22.0,48.0,8.0,13.0,9.0,386.79,10.47,12.21,0.21,0.18
38.00445,100,29.522354,0.67,2.0,38.0,0.18,82.0,18.0,47.0,10.0,9.0,16.0,336.62,5.55,20.04,0.33,0.19
49.49793,100,29.734129,0.74,3.0,49.5,0.1,90.0,10.0,60.0,13.0,7.0,10.0,475.35,4.76,21.52,0.26,0.18
32.946583,100,29.931982,0.77,2.0,32.95,0.22,78.0,22.0,44.0,10.0,14.0,10.0,493.57,9.83,10.38,0.23,0.2
53.497074,100,30.148309,0.76,4.0,53.5,0.11,89.0,11.0,43.0,13.0,20.0,13.0,465.05,4.6,18.74,0.24,0.18
42.67364,100,30.338938,0.76,4.0,42.67,0.17,83.0,17.0,55.0,10.0,8.0,10.0,639.79,8.99,19.58,0.24,0.2
48.779118,100,30.545391,0.78,3.0,48.78,0.13,87.0,13.0,51.0,10.0,10.0,16.0,629.19,5.44,23.1,0.22,0.17
42.1609,100,30.762245,0.76,4.0,42.16,0.22,78.0,22.0,30.0,16.0,14.0,18.0,354.62,1.4,23.55,0.24,0.19
53.777306,100,30.990913,0.75,1.0,53.78,0.07,93.0,7.0,60.0,5.0,19.0,9.0,312.49,4.62,24.17,0.25,0.2
34.372894,100,31.191841,-1.0,5.0,34.37,0.21,79.0,21.0,43.0,12.0,9.0,15.0,481.52,5.31,19.75,0.28,0.21
43.81382,100,31.400861,0.82,0.0,43.81,0.2,80.0,20.0,49.0,11.0,9.0,11.0,465.5,8.32,17.12,0.18,0.19
53.3094,100,31.594894,0.76,4.0,53.31,0.13,87.0,13.0,53.0,12.0,8.0,14.0,404.99,9.2,14.75,0.24,0.2
30.038944,100,31.798517,0.77,4.0,30.04,0.23,77.0,23.0,37.0,18.0,11.0,11.0,219.8,4.48,20.23,0.23,0.18
42.02126,100,31.993922,0.78,5.0,42.02,0.2,80.0,20.0,40.0,9.0,12.0,19.0,287.48,6.15,16.95,0.22,0.19
37.68966,100,32.211037,0.75,3.0,37.69,0.2,80.0,20.0,43.0,21.0,11.0,5.0,227.02,1.96,23.09,0.25,0.18
39.435486,100,32.411756,0.8,5.0,39.44,0.21,79.0,21.0,41.0,14.0,9.0,15.0,485.08,8.59,15.17,0.2,0.2
45.520775,100,32.610736,0.78,5.0,45.52,0.18,82.0,18.0,48.0,12.0,12.0,10.0,413.51,7.37,21.89,0.22,0.19
45.420742,100,33.10806,0.82,5.0,45.42,0.14,86.0,14.0,46.0,10.0,15.0,15.0,509.92,5.54,19.92,0.18,0.18
41.40709,100,33.318642,0.83,2.0,41.41,0.21,79.0,21.0,47.0,14.0,6.0,12.0,357.88,8.66,16.27,0.17,0.48
36.802647,100,33.52569,0.71,2.0,36.8,0.2,80.0,20.0,38.0,13.0,16.0,13.0,328.95,4.13,20.48,0.29,0.2
34.03342,100,33.725043,0.77,4.0,34.03,0.25,75.0,25.0,41.0,11.0,9.0,14.0,514.9,5.66,17.19,0.23,0.19
45.56889,100,33.92697,0.83,6.0,45.57,0.17,83.0,17.0,50.0,9.0,12.0,12.0,424.11,2.64,28.23,0.17,0.18
34.177322,100,34.117178,0.75,5.0,34.18,0.22,78.0,22.0,39.0,17.0,11.0,11.0,365.38,4.56,16.99,0.25,0.19
44.79269,100,34.323726,-1.0,7.0,44.79,0.18,82.0,18.0,52.0,11.0,5.0,14.0,395.61,7.3,21.49,0.15,0.18
37.922688,100,34.523444,0.72,3.0,37.92,0.19,81.0,19.0,54.0,8.0,10.0,9.0,570.51,4.62,22.4,0.28,0.19
25.803198,100,34.725752,0.73,4.0,25.8,0.27,73.0,27.0,42.0,14.0,9.0,8.0,167.63,6.36,14.9,0.27,0.19
54.609787,100,34.920074,-1.0,5.0,54.61,0.09,91.0,9.0,60.0,16.0,6.0,9.0,504.79,7.23,22.84,0.21,0.19
42.521328,100,35.128843,0.91,3.0,42.52,0.24,76.0,24.0,37.0,12.0,12.0,15.0,285.21,1.46,24.88,0.09,0.18
35.079334,100,35.325312,0.76,5.0,35.08,0.18,82.0,18.0,47.0,13.0,10.0,12.0,233.85,4.51,17.92,0.24,0.2
39.801056,100,35.513657,0.86,2.0,39.8,0.2,80.0,20.0,50.0,12.0,7.0,11.0,463.55,6.5,16.63,0.14,0.18
38.44632,100,35.710927,0.73,3.0,38.45,0.18,82.0,18.0,52.0,12.0,13.0,5.0,419.78,5.16,19.34,0.27,0.18
31.523468,100,35.912271,0.64,6.0,31.52,0.17,83.0,17.0,48.0,11.0,17.0,7.0,331.54,5.17,22.1,0.36,0.18
50.272293,100,36.105247,0.82,1.0,50.27,0.14,86.0,14.0,54.0,6.0,14.0,12.0,465.7,12.6,9.96,0.18,0.19
36.689754,100,36.293289,0.81,5.0,36.69,0.19,81.0,19.0,56.0,7.0,10.0,8.0,478.18,11.85,14.85,0.19,0.18
49.446304,100,36.510666,0.84,2.0,49.45,0.15,85.0,15.0,40.0,18.0,13.0,14.0,401.19,5.35,14.55,0.16,0.18
49.17327,100,36.720155,0.78,0.0,49.17,0.16,84.0,16.0,48.0,18.0,8.0,10.0,419.76,5.78,15.98,0.22,0.2
50.071037,100,36.926674,-1.0,7.0,50.07,0.15,85.0,15.0,49.0,14.0,13.0,9.0,485.15,4.59,20.92,0.2,0.19
50.593452,100,37.130143,0.82,4.0,50.59,0.34,66.0,34.0,27.0,13.0,13.0,13.0,332.98,1.0,17.06,0.18,0.19
56.287727,100,37.336753,0.73,2.0,56.29,0.1,90.0,10.0,55.0,18.0,8.0,9.0,369.87,4.22,19.46,0.27,0.19
46.756992,100,37.546159,0.74,0.0,46.76,0.15,85.0,15.0,43.0,20.0,11.0,11.0,464.32,2.68,28.83,0.26,0.19
38.980576,100,37.722977,0.87,0.0,38.98,0.19,81.0,19.0,58.0,6.0,10.0,7.0,458.18,9.98,16.28,0.13,0.2
44.489952,100,38.157738,0.8,3.0,44.49,0.19,81.0,19.0,45.0,17.0,9.0,10.0,262.05,2.26,23.01,0.2,0.16
54.90205,100,38.52205,0.72,1.0,54.9,0.09,91.0,9.0,61.0,8.0,10.0,12.0,476.94,9.96,16.55,0.28,0.42
25.566837,100,38.849429,0.75,6.0,25.57,0.22,78.0,22.0,55.0,9.0,9.0,5.0,480.29,11.26,14.72,0.25,0.34
45.379448,100,39.238048,0.85,3.0,45.38,0.16,84.0,16.0,52.0,9.0,16.0,7.0,418.25,5.29,18.56,0.15,0.3
42.65722,100,39.632761,0.75,0.0,42.66,0.18,82.0,18.0,53.0,14.0,8.0,7.0,381.66,10.32,13.01,0.25,0.35
47.735546,100,39.980823,-1.0,6.0,47.74,0.19,81.0,19.0,61.0,6.0,6.0,8.0,427.58,10.2,16.63,0.16,0.35
40.542397,100,40.323915,0.83,5.0,40.54,0.18,82.0,18.0,54.0,12.0,9.0,7.0,392.39,7.65,22.41,0.17,0.32
43.203064,100,40.665397,0.76,5.0,43.2,0.18,82.0,18.0,49.0,12.0,12.0,9.0,259.32,1.68,24.09,0.24,0.32
44.108376,100,41.016041,0.87,1.0,44.11,0.19,81.0,19.0,53.0,6.0,11.0,11.0,515.36,4.98,18.16,0.13,0.31
48.836254,100,41.355682,0.84,4.0,48.84,0.18,82.0,18.0,49.0,11.0,10.0,12.0,483.71,4.28,22.0,0.16,0.32
44.976143,100,41.688726,0.81,0.0,44.98,0.17,83.0,17.0,53.0,12.0,7.0,11.0,340.34,9.49,13.56,0.19,0.31
53.216377,100,42.030355,0.8,3.0,53.22,0.16,84.0,16.0,49.0,9.0,12.0,14.0,577.78,9.55,16.12,0.2,0.31
44.169834,100,42.362483,0.82,6.0,44.17,0.19,81.0,19.0,62.0,3.0,8.0,8.0,396.31,5.29,22.13,0.18,0.32
44.667572,100,42.690668,0.76,4.0,44.67,0.15,85.0,15.0,54.0,14.0,9.0,8.0,408.33,8.44,18.36,0.24,0.3
49.707268,100,43.023263,-1.0,5.0,49.71,0.17,83.0,17.0,52.0,9.0,10.0,12.0,459.67,6.52,23.74,0.06,0.3
60.906937,100,43.354034,0.82,2.0,60.91,0.11,89.0,11.0,54.0,13.0,10.0,12.0,389.94,6.25,25.39,0.18,0.31
42.08952,100,43.695323,-1.0,6.0,42.09,0.2,80.0,20.0,54.0,7.0,9.0,10.0,581.25,5.4,20.91,0.2,0.3
45.625546,100,44.081484,0.89,6.0,45.63,0.18,82.0,18.0,55.0,7.0,6.0,14.0,498.22,7.85,16.08,0.11,0.31
41.118553,100,44.508045,0.71,3.0,41.12,0.13,87.0,13.0,52.0,11.0,11.0,13.0,510.46,9.2,18.6,0.29,0.36
30.448036,100,44.929724,-1.0,6.0,30.45,0.25,75.0,25.0,49.0,9.0,7.0,10.0,413.68,3.1,28.37,0.16,0.39
56.717342,100,45.351849,0.86,2.0,56.72,0.15,85.0,15.0,60.0,12.0,7.0,6.0,409.72,4.93,19.25,0.14,0.36
44.281887,100,45.726645,-1.0,4.0,44.28,0.22,78.0,22.0,38.0,11.0,20.0,9.0,455.41,1.4,18.28,0.22,0.39
